strain	clade
a/chicken/narathiwat/niah1703/2004	1
a/thailand/nbl1/2006	1
a/open_billedstork/nakhonsawan/bbd3616m/05	1
a/open_billedstork/nakhonsawan/bbd4011m/05	1
a/pigeon/thailand/ts01/2007	1
a/open_billedstork/nakhonsawan/bba2811m/05	1
a/thailand/1(kan_1a)/2004	1
a/duck/vietnam/367/2005	1
a/littlegrebe/thailand/phichit_01/2004	1
a/duck/cambodia/d14al/2006	1
a/vietnam/1194/2004	1
a/unknown/prachinburi(thailand)/6231/2004	1
a/duck/cambodia/d1kp/2006	1
a/chicken/suphanburi/niah108192/2005	1
a/chicken/malaysia/5744/2004	1
a/sparrow/thailand/phitsanulok_01/2004	1
a/chicken/thailand/icrc_195/2007	1
a/chicken/phichit/niah1/2006	1
a/vietnam/jp178/2004	1
a/quail/thailand/nakhonpathom/qa_161/2005	1
a/pigeon/thailand/vsmu_13_kri/2005	1
a/chicken/vietnam/890/2004	1
a/tiger/thailand/vsmu_1_spb/2004	1
a/chicken/phichit/niah606988/2006	1
a/open_billedstork/nakhonsawan/bbd3309m/05	1
a/duck/vietnam/soctrang680g/2005	1
a/chicken/vietnam/ty9/2005	1
a/openbillstork/thailand/vsmu_4_nsn/2004	1
a/chicken/loei/niah2373/2004	1
a/chicken/thailand/cu_354/2008	1
a/open_billedstork/bangkok/lbd0511f/04	1
a/chicken/laos/7192/2004	1
a/vietnam/jp14/2005	1
a/duck/vietnam/18/2005	1
a/quail/nakhonpathom/niah7562/2005	1
a/open_billedstork/nakhonsawan/bbd1821j/05	1
a/chicken/thailand/icrc_v143/2007	1
a/duck/angthong/71(2)/2004	1
a/vietnam/1203/2004	1
a/chicken/bangkok/thailand/cu_3/04	1
a/duck/vietnam/ncvd01/2005	1
a/chicken/ratchaburi/thailand/cu_68/2004	1
a/vietnam/1204/2004	1
a/chicken/vietnam/p22/05	1
a/open_billstork/thailand/vsmu_29_nsn/2005	1
a/open_billedstork/nakhonsawan/bbd4411m/05	1
a/egret/hongkong/757.2/2003	1
a/duck/uthaithani/niah6_3_0008/2005	1
a/cat/thailand/ku_02/04	1
a/condor/guangdong/139/2003	1
a/crestedeagle/belgium/01/2004	1
a/treesparrow/thailand/vsmu_16_rbr/2005	1
a/vietnam/jp4207/2005	1
a/muscovyduck/vietnam/ncvd02/2005	1
a/brown_headedgull/thailand/vsmu_28_spk/2005	1
a/open_billedstork/nakhonsawan/bbd2316f/05	1
a/thailand/3(sp_83)/2004	1
a/duck/cambodia/d3kp/2006	1
a/thailand/2(sp_33)/2004	1
a/cambodia/408008/2005	1
a/chicken/cambodia/047lc3b/2005	1
a/chicken/nakhonsawan/niah6006587/2008	1
a/duck/thailand/icrc_v629/2008	1
a/chicken/thailand/ts02/2006	1
a/open_billedstork/nakhonsawan/bba2911m/05	1
a/open_billedstork/suphanburi/tsd0912f/2004	1
a/pigeon/thailand/uttaradit_01/2004	1
a/commonmyna/thailand/vsmu_10_brm/2005	1
a/chicken/vietnam/6/2005	1
a/duck/hongkong/821/2002	1
a/chicken/thailand/nontaburi/ck_162/2005	1
a/quail/vietnam/36/04	1
a/chicken/thailand/ns_341/2008	1
a/crow/bangkok/thailand/cu_15/04	1
a/chicken/nakhonsawan/niah01503/2004	1
a/quail/vietnam/tg_007b/2004	1
a/thailand/kan353/2004	1
a/tiger/thailand/vsmu_11_spb/2004	1
a/open_billedstork/nakhonsawan/bbd0404f/2004	1
a/chicken/suphanburi/niah7540/2004	1
a/chicken/thailand/pc_170/2006	1
a/goldenpheasant/thailand/vsmu_21_spb/2005	1
a/chicken/laos/44/2004	1
a/chicken/thailand/ch_2/2004	1
a/whitepeafowl/bangkok/thailand/cu_29/04	1
a/environment/thailand/icrc_6670/2010	1
a/openbillstork/thailand/vsmu_5_nsn/2004	1
a/duck/vietnam/soctrang680c/2005	1
a/pigeon/thailand/vsmu_11_kri/2005	1
a/chicken/sukhothai/niah114843/2008	1
a/duck/vietnam/tg24_01/2005	1
a/pigeon/thailand/ku_03/04	1
a/chicken/nakornsawan/niah6_3_0009/2005	1
a/open_billstork/thailand/vsmu_15_atg/2005	1
a/openbillstork/thailand/vsmu_6_bkk/2004	1
a/chicken/kohnkaen/niah330/2004	1
a/duck/vietnam/ncvd08/2005	1
a/silverpheasant/thailand/vsmu_1_cbi/2005	1
a/quail/angthong/71/2004	1
a/duck/vietnam/dongthap680a/2005	1
a/tiger/thailand/cu_t6/04	1
a/duck/vietnam/dongthap680d/2005	1
a/chicken/vietnam/15/2004	1
a/chicken/cambodia/047lc3/2005	1
a/chicken/vietnam/p78/05	1
a/chicken/vietnam/921/2004	1
a/thailand/1(kan_1)/2004	1
a/open_billedstork/nakhonsawan/bbd3209m/05	1
a/chicken/vietnam/949b/2004	1
a/prachinburi/6231/2004	1
a/sparrow/phang_nga/thailand/cu_203/04	1
a/duck/vietnam/ncvdcdc14/2005	1
a/duck/vietnam/ncvd07/2005	1
a/pigeon/thailand/vsmu_25_bkk/2005	1
a/duck/vietnam/1/2005	1
a/thailand/4(sp_528)/2004	1
a/duck/vietnam/177/2005	1
a/quail/thailand/phichit_01/2004	1
a/chicken/thailand/icrc_618/2008	1
a/chicken/thailand/kamphaengphet/niah6_3_0006/2005	1
a/chicken/vietnam/18/2004	1
a/duck/vietnam/942b/2004	1
a/chicken/thailand/kamphaengphet/niah6_3_0009/2005	1
a/open_billedstork/nakhonsawan/bbd1521j/2005	1
a/chicken/vietnam/24/2004	1
a/greenpeafowl/thailand/vsmu_3_cbi/2005	1
a/leopard/suphanburi/thailand/leo_1/04	1
a/chicken/vietnam/longan636/2005	1
a/chicken/vietnam/23/2004	1
a/thailand/16/2004	1
a/openbillstork/thailand/vsmu_8_bkk/2004	1
a/environment/vietnam/ncvdcdc59/2005	1
a/chicken/samutprakan/niah6604/2004	1
a/tiger/thailand/vsmu_23_cbi/2004	1
a/pigeon/thailand/vsmu_7_npt/2004	1
a/open_billedstork/nakhonsawan/bbd1221j/05	1
a/chicken/vietnam/10/2004	1
a/goose/hongkong/739.2/2002	1
a/chicken/vietnam/11/2005	1
a/quail/thailand/cu_330/06	1
a/chicken/kalasin/niah317/2004	1
a/chicken/thailand/icrc_v586/2008	1
a/open_billstork/thailand/vsmu_9_bkk/2004	1
a/chicken/thailand/icrc_213/2007	1
a/chicken/thailand/vsmu_3_bkk/2004	1
a/chicken/thailand/kanchanaburi/ck_160/2005	1
a/chicken/vietnam/830/2004	1
a/pigeon/samutprakan/thailand/cu_202/04	1
a/chicken/thailand/icrc_7356/2010	1
a/treesparrow/ratchaburi/vsmu_16_rbr/2005	1
a/chicken/thailand/ns_339/2008	1
a/open_billstork/thailand/vsmu_20_aya/2004	1
a/thailand/676/2005	1
a/open_billedstork/bangkok/lbd0111f/04	1
a/thailand/lfpn_2004/2004	1
a/duck/vietnam/dongthap680h/2005	1
a/chicken/vietnam/p41/05	1
a/duck/cambodia/d1kc/2006	1
a/open_billedstork/nakhonsawan/bbd1721j/05	1
a/chicken/nonthaburi/niah2879/2004	1
a/chicken/vietnam/9/2005	1
a/chicken/angthong/niah8334/2004	1
a/open_billedstork/thailand/vsmu_15_atg/2005	1
a/chicken/suphanburi/137/2005	1
a/chicken/suphanburi/niah7618/2004	1
a/duck/angthong/niah8246/2004	1
a/open_billedstork/nakhonsawan/bbd4211m/05	1
a/environment/vietnam/1203/2004	1
a/chicken/thailand/icrc_7372/2010	1
a/chicken/kalasin/niah3776/2005	1
a/hongkong/213/2003	1
a/chicken/vietnam/g62/2005	1-8-9-like
a/duck/guangdong/173/04	1-8-9-like
a/parrot/guangdong/c99/2005	1-8-9-like
a/duck/cambodia/d1kc167/2006	1.1
a/duck/baclieu/07_06/2007	1.1
a/duck/vietnam/18/2007	1.1
a/muscovyduck/camau/07_04/2007	1.1
a/muscovyduck/camau/1159/2006	1.1
a/duck/cambodia/d5kc167/2006	1.1
a/duck/vietnambacliu/ncvd_10/2007	1.1
